tamano,lineal_mejor,lineal_promedio,lineal_peor,lineal_ausente,binaria,arbol,ordenamiento,construccion_arbol
100,3.901129010000659e-07,8.084921399995438e-06,1.8265001200006737e-05,1.2994823200006067e-05,1.1703954980927283e-06,1.160432929826169e-06,0.00013640799988934305,0.0002081919997181103
1000,3.5907174400017536e-07,7.828210550019321e-05,0.00015315931599980105,0.0001593695060000755,2.710047716329929e-06,9.95441465770726e-07,0.00045855400003347313,0.0012418370001796575
10000,2.8971455100008826e-07,0.0006092969899987111,0.0013606261399991125,0.0011267278600007558,2.1463365002593144e-06,1.1955643461758117e-06,0.00768631099981576,0.02376217299979544
100000,2.538005199999134e-07,0.014347924250000688,0.028095152000014424,0.027358041499974207,2.4448423220664437e-06,1.4989598206173885e-06,0.08388233599998784,0.3712074529998972
1000000,2.4981002399999854e-07,0.19956887250009459,0.4098173880001923,0.4501755090000188,3.8747814673821325e-06,3.6460635028269914e-06,2.3895591440000317,9.49440060500001
